month,surface_air mean_temp,mean_sunshine_hrs,mean_realtive humidity,total_rainfall,no_of_rainy_days,max_temperature,temp_category
Jan-82,25.9,-0.05383091,-0.403998769,-0.607470175,-0.803978698,-1.804659521,0
Feb-82,27.1,1.605039989,-0.916635863,-1.306230982,-1.813408715,1.129430252,1
Mar-82,27.2,-0.468548635,-0.072292414,-0.134286628,-0.602092694,1.129430252,1
Apr-82,27,-0.800322814,1.013292019,-0.167770752,0.003565316,-0.215360894,0
May-82,28,0.11205618,0.199103694,-0.650647073,-0.803978698,-0.582122116,1
Jun-82,28.4,1.356209354,-0.675394878,-1.026902892,-1.207750705,-0.093107153,1
Jul-82,28.2,1.605039989,-1.489583203,-0.878867815,-1.207750705,-0.459868375,1
Aug-82,27.7,-0.219718,-0.645239754,-0.057625606,-0.602092694,-0.215360894,1
Sep-82,27.9,-0.38560509,-0.584929508,-1.074485595,-1.005864701,-0.215360894,1
Oct-82,27.4,-0.05383091,-0.3135334,-1.204897448,-0.803978698,0.518161549,1
Nov-82,27.3,0.11205618,0.25941394,-0.370437821,-0.198320688,1.129430252,1
Dec-82,26.2,-1.961532443,1.556084236,2.802623547,1.41676734,-0.459868375,0
Jan-83,26.5,-1.132096994,0.92282665,0.616462688,0.811109329,-1.56015204,0
Feb-83,28.1,3.015080252,-1.36896271,-1.501848762,-2.419066725,1.496191474,1
Mar-83,28.9,2.683306073,-1.972065173,-1.38729781,-2.419066725,2.96323636,1
Apr-83,29.4,0.775604539,-1.610203695,-1.255123634,-2.015294718,2.96323636,1
May-83,28.3,0.194999725,0.199103694,-0.134286628,-0.602092694,0.76266903,1
Jun-83,28.3,0.194999725,-0.042137291,-0.722902289,-0.602092694,0.273654068,1
Jul-83,27.6,-0.219718,0.34987931,0.123012433,0.811109329,-0.459868375,1
Aug-83,28.1,0.526773905,-0.403998769,0.759210797,-0.803978698,-0.826629597,1
Sep-83,27.2,-1.546814719,0.560965172,-0.046170511,0.811109329,-0.704375856,1
Oct-83,27.6,-0.38560509,-0.011982168,0.323036019,0.609223326,0.395907809,1
Nov-83,26.6,-2.044475988,0.802206157,0.464902967,0.811109329,-0.948883337,0
Dec-83,25.4,-2.459193713,1.646549605,1.714389504,0.407337323,-2.538181964,0
Jan-84,25.5,-1.297984084,0.983136896,0.662283069,0.811109329,-2.049167002,0
Feb-84,25.8,-1.297984084,1.043447142,2.59378835,1.012995333,-2.293674483,0
Mar-84,26.5,-0.302661545,0.862516403,1.632441515,1.012995333,-0.704375856,0
Apr-84,27.3,0.44383036,0.380034433,-0.202136038,0.609223326,-0.826629597,1
May-84,27.3,0.609717449,0.470499802,0.092171792,-0.400206691,-0.582122116,1
Jun-84,27.5,-0.219718,0.168948571,0.695767193,0.003565316,-0.826629597,1
Jul-84,27.2,0.029112635,0.34987931,-0.430356781,-0.400206691,-0.459868375,1
Aug-84,27.4,0.27794327,0.470499802,-0.646241267,-0.198320688,-0.704375856,1
Sep-84,26.8,-0.634435724,0.410189556,0.093934115,0.609223326,-1.193390818,0
Oct-84,27.4,-0.302661545,-0.011982168,0.100983404,-0.602092694,0.029146587,1
Nov-84,26.5,-1.132096994,1.133912512,-0.425950975,0.609223326,-0.826629597,0
Dec-84,26,-1.961532443,1.254533004,0.893147295,1.618653343,-1.437898299,0
Jan-85,26.6,2.517418983,-0.3135334,-0.572223729,-1.409636708,-0.459868375,0
Feb-85,27,0.692660994,0.440344679,-0.85243298,-0.602092694,0.395907809,0
Mar-85,27.1,-0.05383091,0.410189556,-0.775771959,-0.198320688,-0.093107153,1
Apr-85,27.5,-0.136774455,0.380034433,-0.577510696,0.003565316,1.007176511,1
May-85,28,0.029112635,0.25941394,-0.933499808,-0.400206691,0.273654068,1
Jun-85,28.2,0.11205618,-0.946790986,-1.225164155,0.003565316,1.985206436,1
Jul-85,27,-0.302661545,0.168948571,-0.389823367,0.609223326,-0.093107153,0
Aug-85,27.7,0.44383036,-0.645239754,-1.049813082,-0.602092694,-0.459868375,1
Sep-85,26.9,-0.55149218,0.168948571,-0.575748373,0.811109329,-1.071137078,0
Oct-85,26.7,-1.297984084,0.651430541,-0.062031412,1.41676734,0.029146587,0
Nov-85,26.6,-1.297984084,0.741895911,0.029609349,1.41676734,-0.459868375,0
Dec-85,26.1,-0.883266359,1.103757389,1.445635347,1.618653343,-1.193390818,0
Jan-86,25.7,-1.463871174,0.410189556,1.164544935,-0.198320688,-2.415928224,0
Feb-86,26.9,1.273265809,-1.248342217,-1.315923755,-2.419066725,-0.215360894,0
Mar-86,26.4,-0.883266359,1.224377881,1.562829783,0.609223326,-0.826629597,0
Apr-86,27.4,0.44383036,0.83236128,-0.229452034,0.003565316,-0.704375856,1
May-86,28.2,0.360886815,-0.22306803,-0.272628931,-0.198320688,0.029146587,1
Jun-86,27.9,0.941491629,-0.011982168,-0.468246711,-0.198320688,-0.215360894,1
Jul-86,27.9,0.44383036,-0.79601537,-0.584559985,-0.400206691,-0.215360894,1
Aug-86,28.3,-0.05383091,-1.580048572,-0.908827295,-0.602092694,1.007176511,1
Sep-86,26.7,-0.717379269,0.560965172,1.938204441,1.618653343,-1.193390818,0
Oct-86,26.9,-0.55149218,0.741895911,0.451685549,1.214881336,-0.948883337,0
Nov-86,26.6,-0.966209904,0.470499802,0.710746933,1.41676734,-0.704375856,0
Dec-86,26.3,-0.219718,0.802206157,1.684430024,0.407337323,-1.68240578,0
Jan-87,25.5,-1.380927629,1.043447142,3.459088618,0.407337323,-2.415928224,0
Feb-87,26.6,2.932136708,-1.067411479,-0.785464732,-1.409636708,-0.459868375,0
Mar-87,27.5,1.024435174,0.199103694,-0.383655239,-0.400206691,-0.093107153,1
Apr-87,27.9,0.44383036,0.078483201,-0.91235194,-0.803978698,1.496191474,1
May-87,27.6,-0.05383091,0.621275418,0.827941368,0.407337323,-0.215360894,1
Jun-87,28.7,0.941491629,-0.554774385,-0.435643748,0.205451319,0.151400328,1
Jul-87,28.1,0.858548084,-0.373843646,-0.838334402,-0.602092694,0.395907809,1
Aug-87,27.4,-0.468548635,0.319724187,0.139754496,0.407337323,0.518161549,1
Sep-87,27.6,-0.219718,-0.011982168,-0.406565429,-0.602092694,0.273654068,1
Oct-87,27.9,0.11205618,-0.132602661,-1.352051363,-1.005864701,0.395907809,1
Nov-87,27.3,-0.966209904,0.440344679,1.511722435,0.609223326,-0.093107153,1
Dec-87,26.4,-0.717379269,0.621275418,-0.909708456,-0.602092694,-0.704375856,0
Jan-88,26.8,0.194999725,0.530810049,0.541563988,0.205451319,-0.337614634,0
Feb-88,27.1,0.858548084,0.199103694,-0.158077979,-1.005864701,0.518161549,1
Mar-88,27.3,-0.38560509,0.83236128,0.094815276,0.205451319,1.618445214,1
Apr-88,27.8,-0.219718,0.591120295,-0.585441146,-0.198320688,0.395907809,1
May-88,28.4,-0.05383091,0.048328078,0.471952256,0.003565316,1.007176511,1
Jun-88,28,0.692660994,-0.283378277,0.67109468,-0.198320688,0.273654068,1
Jul-88,27.3,0.27794327,0.440344679,1.139872422,0.205451319,0.518161549,1
Aug-88,27,-0.634435724,0.711740788,-0.845383691,0.003565316,-0.826629597,0
Sep-88,27.1,-0.717379269,0.591120295,2.32944,0.003565316,-0.093107153,1
Oct-88,27.5,-1.297984084,0.199103694,-0.365150854,0.609223326,1.373937733,1
Nov-88,26.3,-1.629758264,1.284688128,1.985787144,1.820539346,-0.704375856,0
Dec-88,26.2,0.029112635,-0.434153892,-0.996943412,-0.602092694,-2.171420743,0
Jan-89,26.5,0.11205618,0.470499802,0.12036895,-0.803978698,-0.704375856,0
Feb-89,26.6,0.858548084,-1.278497341,-1.089465335,-2.217180722,-0.093107153,0
Mar-89,26.3,-0.966209904,1.525929113,1.144278228,1.41676734,-1.071137078,0
Apr-89,27,0.029112635,1.164067635,0.198792294,0.609223326,1.373937733,0
May-89,27.3,-0.38560509,1.224377881,0.15825888,-0.400206691,-0.093107153,1
Jun-89,27.5,0.27794327,0.229258817,-0.514948253,-0.400206691,-0.215360894,1
Jul-89,27.7,0.27794327,0.018172955,-0.162483785,-0.400206691,-0.826629597,1
Aug-89,27.1,-0.302661545,0.34987931,0.219940162,0.811109329,-0.093107153,1
Sep-89,26.9,-0.136774455,0.560965172,0.627917783,0.003565316,-0.826629597,0
Oct-89,27.1,-0.136774455,0.34987931,-0.57310489,0.407337323,-0.582122116,1
Nov-89,26.7,-0.219718,1.043447142,2.928629594,1.214881336,-0.704375856,0
Dec-89,26.3,-0.717379269,0.892671526,0.032252833,0.811109329,-1.68240578,0
Jan-90,26.2,-0.302661545,0.380034433,-0.252362224,-0.198320688,-1.56015204,0
Feb-90,27.6,2.683306073,-0.494464139,-1.338833945,-1.207750705,0.76266903,1
Mar-90,28.2,2.185644803,-1.489583203,-0.721139966,-2.015294718,1.618445214,1
Apr-90,28.5,0.526773905,-0.403998769,-1.089465335,-0.803978698,1.985206436,1
May-90,28.6,0.692660994,-0.434153892,0.035777478,-0.602092694,1.496191474,1
Jun-90,28.3,0.526773905,-0.554774385,-0.559006311,-1.005864701,0.518161549,1
Jul-90,27.5,0.194999725,0.048328078,-0.458553938,-0.400206691,0.151400328,1
Aug-90,28,0.11205618,-0.072292414,-0.259411514,-0.198320688,0.64041529,1
Sep-90,27.2,-0.468548635,0.199103694,0.250780803,0.609223326,-0.093107153,1
Oct-90,27.5,0.194999725,0.289569063,-1.054218888,-0.400206691,-0.093107153,1
Nov-90,27.2,-0.883266359,0.289569063,0.038420961,0.609223326,0.76266903,1
Dec-90,26.3,-0.136774455,1.043447142,0.220821323,0.407337323,-1.926913262,0
Jan-91,26.7,-0.05383091,0.470499802,-0.459435099,-0.198320688,-0.337614634,0
Feb-91,27.1,1.107378719,-0.283378277,-1.150265455,-1.409636708,0.151400328,1
Mar-91,27.8,1.190322264,-0.79601537,-0.737000867,-0.803978698,0.76266903,1
Apr-91,27.7,0.11205618,0.530810049,-0.368675499,-0.198320688,0.884922771,1
May-91,27.7,-0.468548635,1.224377881,0.708103449,1.820539346,-0.215360894,1
Jun-91,28.6,1.190322264,-0.464309015,-0.76960383,-1.005864701,0.273654068,1
Jul-91,28.5,0.858548084,-1.157876848,-1.222520671,-1.207750705,0.76266903,1
Aug-91,28.2,-0.302661545,-0.826170493,0.441992776,-1.207750705,0.273654068,1
Sep-91,27.5,-1.297984084,0.138793448,-0.466484388,-0.400206691,-1.071137078,1
Oct-91,27.5,-1.215040539,-0.343688523,-1.092989979,-1.813408715,0.029146587,1
Nov-91,26.3,-1.795645353,1.194222758,0.255186609,1.012995333,-0.948883337,0
Dec-91,25.6,-2.210363078,2.460737931,2.786762646,1.012995333,-2.293674483,0
Jan-92,26.6,0.775604539,-0.042137291,-0.811899567,-1.005864701,-1.926913262,0
Feb-92,27.5,1.687983534,-0.615084631,-1.001349218,-2.015294718,-0.337614634,1
Mar-92,28.2,1.439152899,-0.584929508,-0.955528837,-1.611522711,1.618445214,1
Apr-92,28.4,0.609717449,-0.042137291,-0.138692434,-0.198320688,1.496191474,1
May-92,28.1,0.029112635,0.229258817,-0.99518109,-0.198320688,0.884922771,1
Jun-92,28,-0.136774455,0.048328078,-0.116663405,0.003565316,0.273654068,1
Jul-92,27.3,-0.800322814,0.380034433,1.011222891,1.012995333,0.151400328,1
Aug-92,27.8,0.029112635,-0.434153892,-0.880630138,-0.602092694,0.273654068,1
Sep-92,27.3,-0.55149218,0.108638324,-0.81454305,-0.198320688,0.76266903,1
Oct-92,27.4,-0.966209904,-0.162757784,0.503674058,1.214881336,-0.582122116,1
Nov-92,26.1,-1.629758264,1.556084236,2.628153636,0.811109329,-1.68240578,0
Dec-92,25.5,-1.878588898,2.340117438,2.878403408,1.820539346,-2.415928224,0
Jan-93,26.2,-0.136774455,0.952981773,0.003174514,-0.602092694,-2.171420743,0
Feb-93,26.7,2.351531893,-0.615084631,-0.941430258,-1.207750705,-0.826629597,0
Mar-93,26.7,-0.219718,1.133912512,0.65611494,0.003565316,-1.437898299,0
Apr-93,27.6,0.609717449,0.591120295,0.950422771,1.214881336,0.151400328,1
May-93,28.2,0.27794327,0.108638324,-0.406565429,-0.803978698,1.007176511,1
Jun-93,28.5,0.44383036,-0.494464139,-0.533452637,0.609223326,-0.093107153,1
Jul-93,27.9,-0.38560509,0.199103694,0.563593018,0.205451319,-0.704375856,1
Aug-93,28.6,1.439152899,-0.946790986,-0.610113659,-0.602092694,0.64041529,1
Sep-93,27.9,0.194999725,-0.343688523,-1.007517346,-1.409636708,-0.215360894,1
Oct-93,27.5,-0.38560509,0.530810049,-0.004755936,-0.198320688,-0.215360894,1
Nov-93,26.9,-0.800322814,1.465618866,0.658758424,0.811109329,-1.071137078,0
Dec-93,26.5,-1.215040539,1.465618866,1.167188418,1.012995333,-0.582122116,0
Jan-94,26.9,0.360886815,-0.132602661,-1.049813082,-1.409636708,-1.193390818,0
Feb-94,27,0.609717449,0.591120295,-0.374843627,0.205451319,-1.071137078,0
Mar-94,26.8,-1.795645353,1.375153497,0.988312701,1.012995333,-1.437898299,0
Apr-94,27.9,0.11205618,0.681585664,-0.194205587,0.205451319,0.273654068,1
May-94,28.1,-0.55149218,0.681585664,-0.056744445,0.407337323,-0.948883337,1
Jun-94,28.1,0.27794327,0.289569063,0.076310891,0.003565316,-0.337614634,1
Jul-94,28.4,1.605039989,-1.097566602,-1.077129078,-1.611522711,-0.826629597,1
Aug-94,28.1,0.692660994,-0.765860247,-1.1537901,-0.400206691,-0.582122116,1
Sep-94,28.3,-1.546814719,-1.157876848,-1.34235859,-1.611522711,0.884922771,1
Oct-94,27.9,-0.966209904,-0.3135334,-0.804850277,-0.602092694,1.007176511,1
Nov-94,26.7,-0.966209904,1.767170098,1.287907498,1.41676734,-1.071137078,0
Dec-94,26.9,-0.302661545,0.892671526,2.197265824,0.811109329,-0.948883337,0
Jan-95,26.8,-0.55149218,1.103757389,1.527583336,1.41676734,-0.704375856,0
Feb-95,26.5,-0.634435724,1.49577399,1.391884516,0.407337323,-1.193390818,0
Mar-95,27.6,0.194999725,0.410189556,-0.954647676,-0.803978698,-0.215360894,1
Apr-95,27.9,-0.05383091,0.83236128,0.583859725,0.407337323,0.151400328,1
May-95,28.5,0.27794327,0.34987931,-0.807493761,-0.602092694,0.76266903,1
Jun-95,28.9,0.775604539,-0.192912907,-0.989894123,-0.400206691,0.76266903,1
Jul-95,28,-0.38560509,0.018172955,-0.021497998,-0.198320688,-0.459868375,1
Aug-95,27.4,-1.297984084,0.92282665,0.313343246,1.41676734,-1.193390818,1
Sep-95,28.3,0.11205618,-0.283378277,-1.291251242,-1.409636708,-0.459868375,1
Oct-95,27.8,-0.800322814,0.078483201,-0.660339846,-0.400206691,0.884922771,1
Nov-95,27,-1.629758264,1.284688128,1.73377505,1.214881336,-0.093107153,0
Dec-95,26.3,-2.127419533,1.224377881,1.114318748,1.214881336,-1.071137078,0
Jan-96,26.2,-0.38560509,0.500654925,-0.025022643,-0.803978698,-1.071137078,0
Feb-96,26.5,0.11205618,0.621275418,0.036658639,-0.602092694,-1.68240578,0
Mar-96,27.8,1.687983534,-0.464309015,-0.408327751,-1.207750705,1.251683993,1
Apr-96,27.8,-0.219718,0.892671526,0.019035415,0.205451319,0.273654068,1
May-96,28.5,1.107378719,0.34987931,-0.603945531,0.205451319,-0.093107153,1
Jun-96,28.3,0.194999725,0.530810049,0.790932599,0.205451319,0.64041529,1
Jul-96,28.3,0.858548084,-0.192912907,-0.12106921,-0.803978698,-0.093107153,1
Aug-96,27.4,-0.55149218,0.25941394,0.725726673,0.811109329,-0.337614634,1
Sep-96,27.7,-0.717379269,-0.102447538,1.065854884,0.811109329,-0.215360894,1
Oct-96,27.5,-1.132096994,0.138793448,1.092289719,1.012995333,-0.337614634,1
Nov-96,27.3,-1.049153449,0.289569063,0.036658639,0.407337323,0.273654068,1
Dec-96,26.6,-0.966209904,0.108638324,0.083360181,0.205451319,-0.459868375,0
Jan-97,27.1,1.687983534,-1.580048572,-1.415494967,-2.217180722,-0.093107153,1
Feb-97,27.4,-0.634435724,-0.524619262,-0.622449915,-1.207750705,0.395907809,1
Mar-97,28.1,1.107378719,-0.88648074,-1.248955506,-0.803978698,1.007176511,1
Apr-97,28.1,-0.05383091,0.048328078,-0.507898963,-0.400206691,1.251683993,1
May-97,29.3,0.858548084,-1.45942808,-1.184630741,-1.611522711,2.107460176,1
Jun-97,29.3,1.356209354,-1.760979311,-0.855957625,-0.400206691,1.618445214,1
Jul-97,28.8,0.692660994,-1.821289557,-1.38729781,-1.005864701,0.76266903,1
Aug-97,28.8,0.029112635,-1.308652464,-0.788108215,-1.005864701,0.76266903,1
Sep-97,28.8,-2.044475988,-1.670513942,-1.277152664,-2.217180722,0.518161549,1
Oct-97,28.2,-2.044475988,-0.464309015,-0.860363431,-1.207750705,1.373937733,1
Nov-97,27.8,-0.219718,0.078483201,-0.156315657,-0.198320688,0.395907809,1
Dec-97,27.3,-0.302661545,0.83236128,1.549612365,1.820539346,-0.582122116,1
Jan-98,28,1.439152899,0.199103694,0.817367434,-0.198320688,0.273654068,1
Feb-98,28.9,2.683306073,-1.278497341,-1.264816407,-1.813408715,1.496191474,1
Mar-98,29.5,1.605039989,-1.429272956,-1.03307102,-1.409636708,3.207743841,1
Apr-98,29.2,0.858548084,-0.22306803,0.102745726,-0.198320688,1.740698955,1
May-98,29.4,0.194999725,-0.072292414,1.716151826,0.811109329,1.740698955,1
Jun-98,28.6,-0.302661545,-0.132602661,0.200554616,0.205451319,1.618445214,1
Jul-98,28.1,-0.468548635,-0.22306803,0.732775962,0.811109329,0.273654068,1
Aug-98,27.5,-0.883266359,0.862516403,0.167070492,0.811109329,-0.704375856,1
Sep-98,27.9,-0.966209904,0.470499802,0.72396435,0.609223326,-0.337614634,1
Oct-98,28,-0.55149218,-0.072292414,0.411152135,1.214881336,1.373937733,1
Nov-98,27.9,-0.883266359,-0.192912907,-0.606589014,-0.602092694,0.884922771,1
Dec-98,26.6,-2.127419533,1.797325221,2.532107068,1.618653343,-0.948883337,0
Jan-99,26.6,-1.463871174,1.737014975,0.157377719,1.012995333,-0.704375856,0
Feb-99,27.2,0.858548084,-0.042137291,-0.957291159,-1.005864701,-0.459868375,1
Mar-99,27.1,-1.132096994,1.49577399,0.047232573,0.407337323,-0.459868375,1
Apr-99,28.3,0.11205618,0.018172955,-0.771366153,0.003565316,1.251683993,1
May-99,28,0.029112635,0.560965172,-0.166889591,-0.198320688,1.007176511,1
Jun-99,28.2,0.27794327,-0.192912907,-0.640073139,-0.198320688,0.395907809,1
Jul-99,27.8,0.941491629,0.048328078,0.434943487,-0.602092694,-0.582122116,1
Aug-99,27.5,0.029112635,0.470499802,0.246374997,-0.198320688,-0.582122116,1
Sep-99,27.9,0.692660994,-0.253223153,-0.441811876,-0.198320688,0.64041529,1
Oct-99,27.2,-0.800322814,0.621275418,0.255186609,1.214881336,-1.071137078,1
Nov-99,27.3,-0.800322814,0.560965172,0.576810435,1.012995333,0.029146587,1
Dec-99,26.8,-1.297984084,0.83236128,1.449159992,0.609223326,-0.459868375,0
Jan-00,26.3,-1.380927629,1.314843251,0.873761749,0.003565316,-1.926913262,0
Feb-00,26.6,0.11205618,1.194222758,0.544207472,0.811109329,-1.193390818,0
Mar-00,27.2,0.11205618,0.983136896,0.548613278,0.205451319,0.76266903,1
Apr-00,27.5,-0.302661545,0.92282665,1.194504414,1.214881336,0.029146587,1
May-00,28.6,0.941491629,-0.042137291,-0.698229776,-0.803978698,1.007176511,1
Jun-00,27.6,-0.883266359,0.530810049,-0.163364946,0.407337323,-0.093107153,1
Jul-00,28.1,0.692660994,0.018172955,-0.52816567,-0.400206691,-0.337614634,1
Aug-00,27.5,-0.468548635,0.380034433,-0.551075861,0.811109329,-0.093107153,1
